TOTAL_INSTANCES 500

INSTANCE TD_UNIQUE_C_100_001
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
62 65 72 74 83 84 84 85 85 87 87 91 91 91 91 94 95 96 97 100 100 103 105 106 106 107 111 111
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.14
300      600      0.49
600      1000     1.47
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
32       83      17      11      415         484       16
33       46      73      23      622         722       13
34       15      22      22      70          131       11
35       82      14      19      273         357       12
36       48      72      10      624         701       17
37       16      19      18      168         233       11
38       90      21      10      315         391       13
39       51      79      25      523         602       20
40       14      15      20      153         243       19
41       81      10      19      439         520       18
42       43      82      22      520         593       17
43       11      15      16      49          124       10
44       84      20      16      327         387       13
45       57      81      12      432         495       16
46       19      21      14      249         330       20
47       80      30      12      417         516       13
48       53      67      21      449         521       17
49       34      14      25      204         296       20
50       76      12      13      309         381       11
51       60      85      11      499         576       11
52       22      29      17      16          124       10
53       81      14      17      342         451       16
54       52      69      22      549         632       13
55       17      26      20      240         325       12
56       84      16      25      461         524       11
57       48      87      15      353         433       13
58       13      7       17      164         250       20
59       86      10      25      302         379       13
60       56      65      12      416         482       11
61       14      30      24      54          127       13
62       74      4       12      319         400       17
63       56      84      13      559         633       15
64       22      13      11      81          160       13
65       78      20      21      392         485       19
66       63      70      21      524         592       11
67       2       24      23      299         398       17
68       84      25      13      458         542       13
69       47      85      18      584         677       18
70       29      32      14      86          193       16
71       80      14      14      390         468       14
72       46      76      18      364         468       18
73       27      19      18      294         375       12
74       71      22      11      326         396       18
75       44      84      23      566         640       17
76       9       12      14      211         302       10
77       82      18      17      500         580       10
78       57      67      23      495         596       18
79       26      5       13      290         357       11
80       85      25      24      253         319       18
81       45      76      15      581         656       14
82       27      18      23      187         272       13
83       84      18      22      327         432       15
84       61      75      24      542         622       20
85       15      29      15      84          144       15
86       76      8       21      361         464       13
87       53      91      13      377         476       19
88       13      25      24      71          142       13
89       86      22      25      273         350       18
90       51      80      15      460         551       10
91       26      12      19      54          114       20
92       87      18      19      355         444       18
93       58      82      20      381         446       15
94       24      16      20      143         232       17
95       89      26      14      277         369       10
96       55      72      17      558         619       14
97       16      23      10      145         235       16
98       72      23      25      364         468       20
99       52      79      24      425         524       12
100      18      14      21      203         284       13

INSTANCE TD_UNIQUE_C_50_258
LAYOUT C
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
64 65 68 69 73 74 75 79 80 85 91 92 93 96 96
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.22
300      600      0.43
600      1000     1.37
1000     2000     1.02
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        18      9       13      119         181       19
2        86      22      12      258         319       12
3        42      84      25      406         496       14
4        23      23      15      101         172       17
5        84      23      11      479         582       20
6        51      92      19      612         709       17
7        15      25      12      29          119       15
8        82      16      20      431         503       20
9        60      88      10      528         612       11
10       17      22      20      21          126       12
11       87      16      14      304         382       20
12       46      84      23      594         692       15
13       13      20      12      274         376       17
14       81      37      11      367         473       11
15       45      84      23      587         650       20
16       17      18      19      163         243       17
17       73      30      23      486         588       20
18       50      80      21      642         709       19
19       10      20      25      239         342       16
20       70      16      16      305         400       16
21       60      96      15      450         550       19
22       14      11      11      49          147       17
23       83      25      16      461         569       16
24       63      85      25      461         534       19
25       14      14      14      298         394       11
26       98      17      15      254         339       11
27       49      80      18      597         662       14
28       15      20      25      11          115       18
29       84      28      25      392         481       12
30       55      76      15      379         460       15
31       31      19      16      112         179       13
32       79      7       23      434         532       11
33       54      71      24      557         622       13
34       4       25      15      165         246       14
35       73      17      24      394         487       12
36       52      67      13      581         656       17
37       22      24      10      74          151       19
38       84      20      10      488         558       15
39       56      73      12      573         658       20
40       4       10      16      7           89        12
41       65      15      13      497         574       13
42       48      83      16      587         656       18
43       19      11      16      144         208       16
44       87      28      22      417         481       15
45       43      83      13      377         456       10
46       26      9       14      222         292       12
47       72      13      12      256         345       12
48       48      88      23      402         502       10
49       13      8       24      38          114       17
50       83      2       18      387         483       19

INSTANCE TD_UNIQUE_RC_100_259
LAYOUT RC
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
56 59 60 69 70 76 77 79 81 88 90 91 92 93 94 94 95 96 96 98 99 101 101 103 105 105 106 106
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.3
300      600      0.45
600      1000     1.2
1000     2000     1.06
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        65      5       20      449         550       17
2        25      66      10      328         421       14
3        17      88      24      458         565       20
4        11      75      25      527         603       13
5        63      15      14      332         425       11
6        36      72      21      274         341       19
7        86      76      10      416         493       11
8        33      75      11      258         350       18
9        1       98      23      664         734       15
10       21      63      10      388         474       15
11       43      50      20      176         274       20
12       23      100     13      498         590       17
13       77      1       23      481         558       17
14       24      73      22      439         530       18
15       53      83      21      335         437       18
16       39      71      11      304         405       14
17       89      52      11      454         542       17
18       11      84      11      572         648       18
19       11      56      23      448         535       17
20       24      84      15      502         582       10
21       24      99      12      570         671       16
22       25      97      11      474         564       14
23       93      63      21      468         540       16
24       19      65      25      322         411       17
25       18      18      18      498         603       15
26       29      78      20      393         500       10
27       93      61      18      432         510       17
28       31      86      19      440         520       10
29       40      87      16      377         478       20
30       21      81      15      433         509       18
31       7       69      22      411         493       18
32       19      91      21      569         668       20
33       95      79      21      525         601       12
34       15      79      17      525         601       20
35       56      71      18      329         426       15
36       14      81      18      411         486       20
37       69      61      14      215         316       18
38       23      82      13      419         486       11
39       88      72      20      462         570       10
40       31      73      25      387         455       11
41       32      2       18      522         612       14
42       15      79      13      408         498       10
43       48      20      20      268         341       16
44       9       79      22      489         591       18
45       92      6       10      546         628       11
46       13      77      15      451         518       18
47       20      64      22      296         385       15
48       44      85      11      425         519       16
49       9       56      17      445         508       11
50       32      74      21      321         393       15
51       8       20      15      532         607       10
52       18      71      21      462         542       12
53       76      24      22      341         414       12
54       37      85      23      409         509       15
55       3       5       14      623         702       15
56       18      77      14      448         514       17
57       58      17      18      388         474       14
58       7       68      20      447         523       15
59       66      74      20      276         378       18
60       27      86      14      360         452       19
61       35      67      13      205         311       18
62       15      81      15      399         495       15
63       31      49      19      241         324       18
64       32      72      13      342         434       15
65       78      25      10      387         487       14
66       15      74      23      442         546       11
67       21      34      20      366         453       14
68       0       55      10      505         580       12
69       17      20      21      398         508       19
70       28      71      20      267         363       14
71       61      91      12      438         532       19
72       29      86      18      427         514       18
73       35      25      24      340         418       10
74       15      92      13      563         638       19
75       72      38      10      339         410       13
76       11      69      20      500         587       20
77       82      31      16      393         478       15
78       21      94      10      500         594       12
79       28      23      16      321         412       15
80       7       81      11      535         636       12
81       58      59      14      209         313       14
82       37      80      24      284         381       14
83       9       73      16      489         556       11
84       24      76      22      347         428       12
85       71      29      11      331         407       19
86       37      69      11      318         404       15
87       60      24      14      296         402       10
88       27      76      12      345         455       15
89       14      89      18      522         624       14
90       21      83      13      437         513       14
91       43      76      19      344         416       10
92       28      79      23      309         395       10
93       66      82      21      325         411       14
94       23      61      20      391         485       17
95       99      82      20      568         637       20
96       19      66      17      431         541       11
97       20      16      16      389         499       20
98       17      73      10      448         541       18
99       63      84      22      435         523       15
100      20      89      25      442         536       17

INSTANCE TD_UNIQUE_RC_50_260
LAYOUT RC
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
53 54 67 69 70 90 90 92 94 95 96 98 99 99 99
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.1
300      600      0.43
600      1000     1.3
1000     2000     0.99
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        11      24      17      460         549       20
2        14      79      13      476         577       10
3        8       15      25      480         555       16
4        32      84      17      336         400       17
5        73      84      12      420         518       13
6        27      83      23      346         424       13
7        11      86      11      503         600       17
8        16      81      23      358         456       10
9        1       37      23      403         489       17
10       9       82      21      380         449       10
11       82      78      20      443         509       17
12       24      74      11      333         412       15
13       73      98      20      424         485       19
14       27      87      24      384         493       16
15       16      61      13      389         459       12
16       13      74      24      426         509       19
17       87      82      14      406         478       18
18       32      90      12      433         514       19
19       74      54      19      248         314       11
20       15      81      14      388         473       19
21       88      66      23      299         388       15
22       13      95      21      433         506       17
23       99      86      10      578         672       15
24       22      82      14      313         418       12
25       7       91      21      489         574       18
26       38      79      22      320         415       14
27       42      59      10      153         247       18
28       33      60      12      241         316       10
29       67      24      18      353         435       12
30       21      75      14      274         379       12
31       32      96      23      467         549       12
32       45      77      20      297         357       16
33       22      60      17      216         314       11
34       24      76      25      314         420       15
35       20      2       19      530         592       13
36       23      74      11      314         375       15
37       22      56      23      326         436       12
38       5       55      22      435         514       16
39       22      8       16      410         491       13
40       24      88      10      434         505       19
41       25      83      11      316         383       17
42       33      85      16      359         431       13
43       80      93      16      456         524       11
44       11      75      17      360         435       20
45       34      72      11      304         375       17
46       15      82      10      478         546       11
47       16      84      13      432         533       10
48       16      71      25      349         427       17
49       81      52      22      332         404       17
50       23      93      12      456         519       13

INSTANCE TD_UNIQUE_RC_50_261
LAYOUT RC
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
47 51 55 63 68 77 79 82 84 85 87 89 91 91 92
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.22
300      600      0.32
600      1000     1.45
1000     2000     0.9
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        37      83      10      330         426       19
2        34      66      14      168         256       19
3        41      87      18      308         403       12
4        35      78      18      283         374       15
5        8       35      10      437         528       15
6        39      70      23      218         288       16
7        42      11      13      431         532       20
8        19      85      12      347         441       10
9        32      18      19      326         397       14
10       3       76      22      406         479       10
11       33      61      18      250         354       11
12       30      81      22      330         402       15
13       16      7       10      495         591       12
14       32      75      11      343         445       13
15       41      46      23      182         270       11
16       19      77      10      387         472       12
17       86      11      11      442         502       13
18       22      66      15      321         422       14
19       38      88      10      416         476       15
20       26      86      14      403         477       13
21       8       21      22      463         562       11
22       16      86      19      415         479       10
23       44      61      10      111         211       19
24       11      81      23      478         570       15
25       52      66      17      147         254       11
26       26      80      15      346         412       15
27       68      79      18      297         362       13
28       15      91      13      475         580       15
29       8       63      17      441         541       17
30       31      75      14      365         441       11
31       46      38      21      132         214       14
32       23      76      19      380         488       16
33       21      4       21      385         448       18
34       29      82      14      378         448       17
35       54      61      20      157         217       14
36       7       87      19      437         539       16
37       33      18      16      372         455       17
38       27      95      20      409         470       12
39       31      91      19      365         466       14
40       25      72      19      264         362       17
41       19      45      23      238         346       17
42       8       80      24      448         514       11
43       31      46      15      228         311       17
44       19      63      13      307         377       14
45       79      78      19      375         483       14
46       25      81      14      422         498       16
47       94      33      21      347         418       19
48       30      91      19      329         420       13
49       38      33      17      292         382       20
50       23      65      12      273         374       12

INSTANCE TD_UNIQUE_R_100_262
LAYOUT R
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
57 57 70 73 78 78 82 82 82 84 85 86 91 92 92 93 93 96 96 97 99 99 99 104 105 105 106 106
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.06
300      600      0.36
600      1000     1.48
1000     2000     0.91
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        22      30      25      373         467       13
2        25      30      16      360         435       13
3        37      45      14      140         235       14
4        74      20      23      434         524       15
5        14      94      10      561         667       11
6        81      11      15      465         530       11
7        58      85      15      342         451       13
8        10      9       13      580         666       10
9        61      2       12      549         633       17
10       13      87      15      495         588       15
11       60      18      17      402         483       14
12       11      86      19      454         538       11
13       0       28      22      463         572       16
14       64      80      13      379         475       19
15       27      52      25      261         352       11
16       73      54      11      260         337       19
17       60      43      17      135         215       11
18       91      84      14      572         646       20
19       57      43      25      219         287       19
20       13      5       25      586         674       12
21       23      17      18      424         508       16
22       16      36      25      383         474       20
23       83      11      22      434         521       16
24       73      7       20      464         565       17
25       52      94      21      464         555       16
26       24      91      13      512         603       18
27       16      98      23      613         679       11
28       80      1       12      588         688       17
29       48      10      10      448         552       16
30       89      51      18      328         434       10
31       70      82      11      419         500       13
32       99      29      17      537         612       20
33       7       71      16      450         521       16
34       68      55      12      159         249       16
35       80      8       15      456         529       15
36       94      75      11      476         548       18
37       20      29      13      376         478       18
38       6       100     15      600         677       15
39       75      99      20      607         703       11
40       84      15      18      416         521       13
41       12      71      14      418         485       13
42       88      21      10      548         620       19
43       90      76      22      525         599       18
44       45      70      17      269         330       16
45       39      96      25      485         579       16
46       87      10      19      562         657       15
47       81      63      12      355         438       12
48       19      21      18      392         468       13
49       22      8       15      449         530       12
50       2       8       15      661         725       16
51       26      74      14      355         456       20
52       35      63      20      199         277       19
53       36      8       17      448         535       10
54       49      59      13      193         281       18
55       71      31      13      259         322       19
56       82      41      24      314         420       16
57       100     43      16      469         576       13
58       55      85      15      300         400       18
59       32      52      21      254         350       11
60       56      9       16      411         515       14
61       65      90      22      438         531       18
62       65      55      17      257         328       16
63       44      52      11      124         224       19
64       22      65      25      406         495       14
65       88      13      21      472         533       14
66       76      98      21      512         602       19
67       48      36      23      264         368       10
68       36      4       25      521         626       15
69       41      45      15      145         224       12
70       13      44      23      335         396       14
71       42      78      16      374         466       20
72       47      77      12      281         373       12
73       46      46      18      119         181       19
74       37      76      14      333         401       10
75       55      69      22      278         362       18
76       54      76      11      296         384       16
77       43      1       10      552         651       11
78       9       53      24      423         515       10
79       36      91      22      473         557       13
80       56      25      15      311         417       15
81       60      35      14      177         277       14
82       64      18      13      353         433       15
83       0       19      10      635         739       12
84       5       91      10      611         718       18
85       2       6       21      560         659       20
86       43      33      21      215         314       16
87       7       68      18      453         526       16
88       86      86      25      439         523       12
89       36      35      23      181         247       18
90       12      43      12      427         504       15
91       57      46      17      199         290       11
92       87      1       16      580         647       12
93       85      21      25      502         610       10
94       93      17      15      570         675       12
95       100     62      24      501         603       15
96       82      52      17      387         455       15
97       8       89      16      495         582       10
98       38      87      12      330         438       12
99       79      14      15      534         615       10
100      64      11      17      475         539       17

INSTANCE TD_UNIQUE_C_50_263
LAYOUT C
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
60 82 83 85 85 89 89 93 94 94 94 95 96 96 99
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.1
300      600      0.34
600      1000     1.46
1000     2000     1.08
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        13      22      19      260         337       11
2        90      14      22      241         335       16
3        39      78      20      485         571       17
4        17      23      10      233         307       20
5        75      21      24      381         470       15
6        52      73      21      377         437       12
7        20      8       12      276         357       18
8        90      18      14      207         289       13
9        45      81      25      458         536       15
10       18      9       24      238         340       16
11       86      31      13      469         554       10
12       57      91      19      595         678       12
13       25      9       15      229         318       18
14       89      17      16      438         499       19
15       47      76      11      565         657       10
16       9       26      16      71          162       13
17       89      24      16      372         440       10
18       36      96      23      500         564       17
19       19      24      10      209         297       12
20       88      5       11      393         480       14
21       46      89      12      611         721       16
22       19      6       23      209         273       13
23       84      13      16      336         430       12
24       38      73      12      382         456       14
25       20      21      10      114         175       15
26       79      18      13      451         515       20
27       51      82      25      437         506       13
28       8       13      20      260         359       14
29       97      25      21      413         485       10
30       62      73      13      608         668       16
31       26      23      24      30          101       18
32       85      22      13      299         360       20
33       51      77      25      623         713       11
34       14      27      13      33          116       10
35       86      16      25      463         556       10
36       44      78      20      502         595       10
37       19      29      22      167         257       11
38       86      32      22      404         471       20
39       45      94      11      516         586       18
40       26      21      24      85          188       12
41       90      23      13      467         532       13
42       50      82      10      600         687       10
43       14      15      24      216         282       18
44       76      20      13      255         323       10
45       49      82      14      356         422       13
46       10      10      20      233         321       10
47       72      23      17      289         398       11
48       49      90      18      507         593       16
49       13      26      24      172         260       12
50       88      32      23      247         329       13

INSTANCE TD_UNIQUE_R_100_264
LAYOUT R
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
51 54 62 65 66 66 69 71 77 77 78 79 83 83 84 86 89 89 91 93 94 94 96 98 100 101 102 103
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.2
300      600      0.57
600      1000     1.42
1000     2000     1.02
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        92      37      19      414         500       12
2        63      24      10      348         454       18
3        66      47      14      150         231       10
4        58      8       20      440         526       12
5        65      27      14      236         296       14
6        48      88      13      361         426       10
7        3       30      17      437         511       11
8        85      28      20      407         502       14
9        10      72      10      439         531       19
10       94      76      12      467         541       14
11       27      2       13      520         583       12
12       99      49      22      477         577       17
13       13      12      17      477         547       10
14       59      29      23      218         295       19
15       11      58      23      476         543       10
16       73      56      15      335         417       19
17       63      60      24      200         282       16
18       24      72      13      427         513       16
19       54      25      16      338         434       11
20       18      38      17      339         420       14
21       61      63      18      257         340       13
22       81      74      11      434         544       12
23       20      15      16      448         509       16
24       30      62      22      248         348       17
25       77      63      20      282         365       11
26       63      48      12      150         238       13
27       8       59      12      464         567       13
28       82      43      12      402         467       14
29       100     46      20      546         639       17
30       24      48      15      297         382       13
31       8       3       16      563         655       16
32       100     2       16      710         773       17
33       39      71      17      238         326       13
34       89      80      19      459         523       12
35       65      65      11      294         354       13
36       55      53      13      116         216       13
37       55      75      12      274         376       18
38       22      23      10      367         429       14
39       97      46      10      395         498       19
40       70      80      15      327         398       15
41       41      56      16      117         195       18
42       66      23      21      313         400       18
43       67      22      25      411         476       13
44       15      11      12      521         625       15
45       33      67      11      341         449       10
46       76      89      21      452         547       18
47       55      37      17      197         295       15
48       90      53      17      440         504       18
49       71      12      24      376         478       20
50       98      27      17      592         680       16
51       39      7       25      482         590       13
52       90      99      11      633         710       11
53       54      57      16      191         262       10
54       87      96      17      532         612       12
55       72      29      12      268         378       11
56       5       1       12      574         674       14
57       67      54      14      180         242       13
58       38      97      17      440         547       19
59       43      14      21      397         457       20
60       89      56      10      423         523       16
61       44      41      20      106         186       14
62       98      10      11      632         717       18
63       92      44      19      409         477       15
64       23      79      22      431         496       17
65       55      39      12      208         315       11
66       94      66      24      409         485       12
67       38      62      15      267         365       20
68       55      92      10      432         494       19
69       98      52      25      445         530       15
70       37      64      22      299         390       13
71       94      48      19      502         567       12
72       64      4       25      410         476       13
73       58      78      11      270         338       11
74       65      59      23      225         316       12
75       56      28      12      307         394       16
76       20      56      21      333         395       15
77       7       66      20      423         525       14
78       2       94      10      556         643       17
79       10      59      20      347         445       17
80       81      77      16      420         529       16
81       73      7       20      541         633       14
82       89      16      15      566         665       16
83       44      26      14      240         324       16
84       77      74      13      435         516       13
85       4       23      21      483         554       18
86       65      36      14      294         376       17
87       56      29      24      225         310       18
88       90      17      18      547         654       17
89       65      64      16      265         325       19
90       8       84      17      529         603       16
91       100     65      13      532         603       11
92       82      0       18      515         576       17
93       56      24      17      272         338       20
94       97      0       24      712         780       13
95       20      2       21      515         619       20
96       39      54      18      228         303       17
97       67      25      16      381         473       15
98       78      7       17      474         561       18
99       50      42      23      158         254       11
100      60      24      15      376         477       20

INSTANCE TD_UNIQUE_RC_100_265
LAYOUT RC
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
60 61 63 69 70 78 80 87 88 89 90 91 91 92 93 95 97 100 101 104 104 105 105 106 106 107 107 107
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.1
300      600      0.59
600      1000     1.25
1000     2000     1.0
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        55      1       22      496         578       16
2        34      75      15      394         463       15
3        74      94      18      492         562       17
4        34      73      13      331         402       11
5        71      41      15      238         323       11
6        27      82      10      335         441       15
7        12      20      13      437         508       18
8        23      76      24      345         426       18
9        18      41      20      405         499       17
10       9       86      10      549         646       11
11       10      42      18      410         470       18
12       19      76      21      405         500       11
13       47      79      15      328         392       13
14       21      91      21      464         573       19
15       97      41      10      430         503       12
16       33      76      15      303         368       15
17       52      87      14      396         484       13
18       24      74      17      393         500       16
19       2       4       22      703         794       15
20       14      74      18      478         575       20
21       7       71      19      514         604       17
22       27      91      12      421         500       16
23       25      18      17      457         541       20
24       20      78      20      476         551       12
25       8       43      25      445         506       13
26       46      88      21      446         507       20
27       15      47      16      340         410       17
28       35      67      22      275         366       16
29       24      55      21      286         360       12
30       25      86      21      498         583       10
31       51      81      21      294         393       18
32       15      75      21      368         478       19
33       78      62      12      304         391       19
34       5       71      10      536         616       14
35       48      58      20      68          136       10
36       44      87      15      394         496       16
37       92      58      17      405         479       19
38       20      67      10      400         501       17
39       77      0       19      564         641       13
40       22      80      16      354         438       15
41       35      58      12      279         374       13
42       12      75      22      505         592       20
43       85      40      24      365         453       13
44       17      79      20      509         585       17
45       48      40      21      168         245       12
46       8       78      20      553         625       13
47       42      14      16      355         446       20
48       23      75      18      328         431       16
49       70      100     11      522         607       20
50       32      84      19      466         561       16
51       92      93      10      538         612       17
52       8       81      13      510         596       13
53       30      70      17      286         378       11
54       22      73      24      346         453       11
55       45      21      12      331         429       19
56       24      79      16      361         424       20
57       99      24      22      549         611       15
58       8       95      25      549         644       16
59       13      26      22      374         473       13
60       36      84      16      316         390       19
61       81      24      12      384         451       11
62       19      85      20      537         609       10
63       36      18      22      357         422       18
64       5       87      23      519         608       10
65       26      59      22      256         318       16
66       25      78      12      446         537       16
67       34      27      21      384         487       19
68       27      81      20      433         520       19
69       87      35      19      390         461       12
70       39      73      25      272         363       12
71       98      47      11      443         507       16
72       22      82      24      484         582       18
73       45      99      14      531         591       18
74       22      94      24      472         567       20
75       11      92      17      517         615       20
76       6       81      14      568         628       14
77       84      59      20      341         414       15
78       6       76      14      505         576       20
79       81      11      12      502         582       16
80       22      60      13      318         426       16
81       88      81      14      491         562       16
82       17      79      10      498         572       15
83       83      60      14      365         464       13
84       21      73      16      452         538       18
85       83      0       22      628         696       13
86       26      81      21      371         448       13
87       67      50      12      217         318       10
88       27      68      11      283         387       11
89       35      12      19      357         426       14
90       18      73      12      399         504       20
91       88      59      15      363         469       19
92       16      74      24      470         562       17
93       15      5       24      495         596       19
94       13      76      19      462         551       17
95       68      95      20      437         526       17
96       20      71      18      427         501       12
97       63      65      19      285         385       15
98       30      78      12      381         477       18
99       94      65      13      420         523       15
100      27      86      22      465         548       11

INSTANCE TD_UNIQUE_R_50_266
LAYOUT R
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
58 67 70 71 72 74 76 79 82 84 86 95 96 99 101
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.26
300      600      0.28
600      1000     1.26
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        58      38      13      250         319       20
2        55      15      20      313         407       18
3        70      91      12      444         547       13
4        87      29      16      429         537       17
5        18      81      21      392         473       16
6        80      36      19      313         420       13
7        13      5       24      415         493       10
8        42      11      20      425         516       20
9        61      96      21      425         514       13
10       20      33      20      257         360       20
11       99      71      25      431         492       16
12       17      55      13      243         314       14
13       80      60      22      361         457       13
14       65      46      20      212         280       11
15       14      67      15      378         477       19
16       46      95      12      373         478       19
17       49      50      19      104         193       12
18       57      59      20      216         295       20
19       13      77      24      442         532       12
20       48      36      13      243         340       16
21       64      82      14      378         450       10
22       79      51      16      312         372       12
23       23      30      19      338         413       11
24       71      31      24      296         368       13
25       74      79      19      398         464       17
26       38      18      17      257         361       16
27       17      91      15      385         472       13
28       64      9       11      359         421       13
29       25      25      12      295         361       10
30       83      82      22      326         403       17
31       53      86      18      378         447       17
32       97      51      17      441         525       10
33       17      40      11      314         386       11
34       54      70      23      213         312       11
35       86      12      18      504         595       20
36       46      86      19      331         410       15
37       35      71      19      196         290       20
38       30      4       17      429         493       20
39       20      12      24      347         428       16
40       46      86      22      280         372       16
